Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
NIST CSF,2,,Detect,RS.AN-06,"Actions performed during an investigation are recorded, and the records’
integrity and provenance are preserved",,,False,,"MDR, GRC, IR","Cyber GRC Add-On, Hosted Velociraptor Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, NTA Add-On, Velociraptor, insightIDR","GRC, MDR","Cyber GRC Add-On, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",,,Yes,Yes,Yes,Automated,,Incident Analysis,,,False
NIST CSF,2,,Detect,RS.AN-07,"Incident data and metadata are collected, and their integrity and provenance
are preserved",,,False,,IR,"Hosted Velociraptor Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, NTA Add-On, Velociraptor, insightIDR",IR,,incident,,Yes,Yes,Yes,Automated,,Incident Analysis,,,False
NIST CSF,2,,Detect,RS.AN-08,An incident’s magnitude is estimated and validated,,,False,,"GRC, MDR, IR","Cyber GRC Add-On, Hosted Velociraptor Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, NTA Add-On, Velociraptor, insightIDR","GRC, IR, MDR","Cyber GRC Add-On, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",incident,,Yes,Yes,Yes,Automated,,Incident Analysis,,,False
NIST CSF,2,,Detect,RS.CO-02,Internal and external stakeholders are notified of incidents,,,False,,"MDR, GRC","Cyber GRC Add-On, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate","GRC, MDR, IR, SOAR","Cyber GRC Add-On, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",,,Yes,Yes,Yes,Both,"Customer Advisor communicates in MDR, and Incident Track can be used in Compyl",Incident Response Reporting and Communication,,,False
NIST CSF,2,,Detect,RS.CO-03,Information is shared with designated internal and external stakeholders,,,False,,"GRC, MDR","Cyber GRC Add-On, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate","GRC, MDR","Cyber GRC Add-On, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",,,Yes,Yes,Yes,Both,,Incident Response Reporting and Communication,,,False
NIST CSF,2,,Detect,RS.MI-01,Incidents are contained,,,False,,"IR, MDR","Hosted Velociraptor Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, NTA Add-On, Velociraptor, insightIDR","IR, MDR","MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",,,Yes,Yes,Yes,Both,,Incident Mitigation,,,False
NIST CSF,2,,Detect,RS.MI-02,Incidents are eradicated,,,False,,"IR, MDR","Hosted Velociraptor Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, NTA Add-On, Velociraptor, insightIDR","IR, MDR","MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",,,Yes,Yes,Yes,Both,,Incident Mitigation,,,False
NIST CSF,2,,Recover,RC.RP-01,"The recovery portion of the incident response plan is executed once initiated
from the incident response process",,,True,,"IR, MDR","Hosted Velociraptor Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, NTA Add-On, Velociraptor, insightIDR","IR, MDR","MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",incident,,Yes,Yes,Yes,,MDR???,Incident Recovery Plan Execution,,,False
NIST CSF,2,,Recover,RC.RP-02,"Recovery actions are selected, scoped, prioritized, and performed",,,False,,Infrastructure,,"Infrastructure, CAASM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,,Yes,Yes,Yes,,MDR???,Incident Recovery Plan Execution,,,False
NIST CSF,2,,Recover,RC.RP-03,"The integrity of backups and other restoration assets is verified before using
them for restoration",,,False,,Infrastructure,,Infrastructure,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,,Yes,Yes,,,MDR???,Incident Recovery Plan Execution,,,False
NIST CSF,2,,Recover,RC.RP-04,"Critical mission functions and cybersecurity risk management are considered
to establish post-incident operational norms",,,False,,GRC,Cyber GRC Add-On,GRC,Cyber GRC Add-On,incident,,Yes,Yes,,,MDR???,Incident Recovery Plan Execution,,,False
NIST CSF,2,,Recover,RC.RP-05,"The integrity of restored assets is verified, systems and services are restored,
and normal operating status is confirmed",,,False,,"AM, CM, PM","Automox Add-On, N/A","AM, CM, PM","Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM",,,Yes,Partially,,Manual,MDR???,Incident Recovery Plan Execution,,,False
NIST CSF,2,,Recover,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-
related documentation is completed",,,False,,"MDR, GRC, IR","Cyber GRC Add-On, Hosted Velociraptor Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, NTA Add-On, Velociraptor, insightIDR","GRC, IR, MDR","Cyber GRC Add-On, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",incident,,Yes,Partially,,Manual,MDR???,Incident Recovery Plan Execution,,,False
NIST CSF,2,,Recover,RC.CO-03,"Recovery activities and progress in restoring operational capabilities are
communicated to designated internal and external stakeholders",,,False,,"AM, CM, Infrastructure",,"AM, CM, Infrastructure","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightVM",,,Yes,Partially,Yes,Manual,MDR???,Incident Recovery Communication,,,False
NIST CSF,2,,Recover,RC.CO-04,"Public updates on incident recovery are shared using approved methods and
messaging",,,False,,GRC,Cyber GRC Add-On,GRC,Cyber GRC Add-On,incident,,Yes,Yes,No,Manual,,Incident Recovery Communication,,,False
HITRUST e1,11.7.0,,,0431.1,"The organizationâ€™s information security policy is developed, published, disseminated, and implemented. The information security policy documents: state the purpose and scope of the policy; communicate managementâ€™s commitment; describe management and workforce membersâ€™ roles and responsibilities; and establish the organizationâ€™s approach to managing information security.",,,False,,,,,,policy,,,,,,,01 Information Protection Program,,,False
HITRUST e1,11.7.0,,Protect,0943.2,"The organization applies a default-deny rule that drops all traffic via host-based firewalls or port filtering tools on its endpoints (workstations, servers, etc.), except those services and ports that are explicitly allowed.",,,False,,"AGW, CM, HIPS","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, insightIDR","AGW, CM, HIPS","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, insightIDR","default, filtering",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,02 Endpoint Protection,,,False
HITRUST e1,11.7.0,,,0896.0,"The organization implements and regularly updates mobile code protection, including anti-virus and anti-spyware.",,,False,,,,,,,,,,,,,02 Endpoint Protection,,,False
HITRUST e1,11.7.0,,,1002.0,"The organization restricts the use of writable, removable media and personally owned, removable media in organizational systems.",,,False,,,,,,,,,,,,,03 Portable Media Security,,,False
HITRUST e1,11.7.0,,Identify,2318.0,"The organization identifies and encrypts mobile devices and mobile computing platforms that process, store, or transmit sensitive information.",,,True,,SAST,,SAST,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,04 Mobile Device Security,,,False
HITRUST e1,11.7.0,,Protect,0929.0,"The organization ensures wireless access is explicitly approved and wireless access points and devices have appropriate (e.g., minimum of AES WPA2) encryption enabled for authentication and transmission.",,,False,,"SAST, WAF",,"SAST, WAF","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","encryption, aes, encryption",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,05 Wireless Security,,,False
HITRUST e1,11.7.0,,,2368.0,"Changes to information systems (including changes to applications, databases, configurations, network devices, and operating systems and with the potential exception of automated security patches) are consistently documented, tested, and approved.",,,False,,,,,,"patches, network",,,,,,,06 Configuration Management,,,False
HITRUST e1,11.7.0,,Identify,1303.0,Vendor supplied software used in operational systems is maintained at a level supported by the supplier and uses the latest version of Web browsers on operational systems to take advantage of the latest security functions. The organization maintains information systems according to a current baseline configuration and configures system security parameters to prevent misuse.,,,False,,PM,Automox Add-On,PM,Automox Add-On,configuration,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,06 Configuration Management,,,False
HITRUST e1,11.7.0,"Documentation, Network",Identify,2367.0,Information systems are periodically scanned to proactively (annually at minimum) identify technical vulnerabilities.,,,True,,"CNAPP, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Managed Threat Complete, Nexpose, insightCloudSec, insightVM","CNAPP, VM","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Nexpose, Ultimate, Vector Command, insightAppSec, insightCloudSec, insightVM",vulnerabilities,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,07 Vulnerability Management,,,False
HITRUST e1,11.7.0,,,2363.0,Organizational inventories of IT assets are periodically (annually at minimum) reviewed to ensure completeness and accuracy.,,,True,,,#ERROR!,,,,,,,,,,07 Vulnerability Management,,,False
HITRUST e1,11.7.0,,,2317.1,"The organization deploys automated software update tools in order to ensure that systems are running the most recent security updates provided by the software vendor, and installs software updates manually for systems that do not support automated software updates.",,,False,,,,,,,,,,,,,07 Vulnerability Management,,,False
HITRUST e1,11.7.0,,Identify,0626.1,"The organization identifies and inventories all assets including information (e.g., PII), encrypted or unencrypted, wherever it is created, received, maintained, or transmitted (including organizational and third-party sites). The organization documents the importance of these inventoried assets. The asset inventory includes: all systems connected to the network; the network devices themselves; desktops; servers; network equipment (routers, switches, firewalls, etc.); printers; storage area networks; Voice Over-IP telephones; multi-homed addresses; virtual addresses; mobile phones, regardless of whether they are attached to the organization's network; tablets, regardless of whether they are attached to the organization's network; laptops, regardless of whether they are attached to the organization's network; other portable electronic devices [i.e., other than mobile phones, tablets, and laptops] that store or process data, regardless of whether they are attached to the organization's network; and approved bring your own device (BYOD) equipment.",,,True,,"CM, PM, PaaS, SAST",Automox Add-On,"CM, PM, PaaS, SAST","Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command","storage, network",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,07 Vulnerability Management,,,False
HITRUST e1,11.7.0,,Identify,2362.0,"The organization prevents enterprise assets from accessing known malicious addresses and domains on the Internet (for example by means of browser configurations, DNS sinkholing, and/or use of a subscription service), unless there is a clear, documented business need and the organization understands and accepts the associated risk.",,,False,,"NTA, PT","Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Pentesting Services, Vector Command, insightIDR","NTA, PT","Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Pentesting Services, Vector Command, insightIDR",dns,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,08 Network Protection,,,False
HITRUST e1,11.7.0,,Protect,0160.0,"Security gateways (e.g., a firewall) are used between the internal network, external networks (Internet and third-party networks), and any demilitarized zone (DMZ). An internal network perimeter is implemented by installing a secure gateway (e.g., a firewall) between two interconnected networks to control access and information flow between the two domains. This gateway is capable of: enforcing security policies, being configured to filter traffic between these domains, and blocking unauthorized access in accordance with the organization's access control policy. Wireless networks are segregated from internal and private networks. The organization requires a firewall between any wireless network and the covered and/or confidential information systems environment.",,,False,,CM,,CM,,"firewall, gateway, gateway, network, policy",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,08 Network Protection,,,False
HITRUST e1,11.7.0,,,2365.0,The organization uses an email filtering solution to recognize and block suspicious emails and unnecessary file types before they reach employee inboxes.,,,False,,,,,,filtering,,,,,,,09 Transmission Protection,,,False
HITRUST e1,11.7.0,,Govern,0886.1,"The organization has implemented Sender Policy Framework (SPF) by deploying SPF records in DNS, enabled receiver-side verification in mail servers to lower the chance of spoofed email messages, implemented DomainKeys Identified Mail (DKIM) to allow receiving servers to verify that email messages actually came from the organization, and implemented Domain-based Message Authentication, Reporting and Conformance (DMARC) to tell receiving servers to either quarantine or reject emails from the organization that donâ€™t pass SPF or DKIM.",,,False,,"AISPM, ISPM, ITDR, NTA","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Surface Command, Vector Command, insightIDR","AISPM, ISPM, ITDR, NTA","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Surface Command, Vector Command, insightIDR","dns, dmarc, spf, dkim, quarantine, policy",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,09 Transmission Protection,,,False
HITRUST e1,11.7.0,,Identify,2361.0,Password policies applicable to the organizationâ€™s information systems are documented and enforced through technical controls.,,,False,,MDR,"MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",MDR,"MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",password,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,10 Password Management,,,False
HITRUST e1,11.7.0,,Protect,0081.0,"The organization changes all default passwords for applications, operating systems, routers, firewalls, wireless access points, and other systems to have values consistent with administration-level accounts before deploying any new devices in a networked environment.",,,False,,"CM, HIPS, MDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, insightIDR","CM, HIPS, MDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, insightIDR",default,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,10 Password Management,,,False
HITRUST e1,11.7.0,,Identify,2322.0,The organization requires multi-factor authentication for access to non-privileged accounts from remote networks (including accounts in Web applications and in remote access solutions such as VPNs).,,,False,,DLP,,DLP,,,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,11 Access Control,,,False
HITRUST e1,11.7.0,,,2321.0,The organization requires multi-factor authentication for network and local access to privileged accounts.,,,False,,,,,,network,,,,,,,11 Access Control,,,False
HITRUST e1,11.7.0,,,2366.0,"The organization reviews all accounts (including user, privileged, system, shared, and seeded accounts), and privileges (e.g., user-to-role assignments, user-to-object assignments) periodically (annually at a minimum).",,,True,,,,,,,,,,,,,11 Access Control,,,False
HITRUST e1,11.7.0,,Detect,2364.0,A policy applicable to the organizationâ€™s information systems addressing account lockout after consecutive unsuccessful login attempts is documented and enforced through technical controls.,,,False,,IDS,"Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, insightIDR",IDS,"Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, insightIDR","lockout, policy",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,11 Access Control,,,False
HITRUST e1,11.7.0,,,1896.0,"System administrators only use accounts with privileged access when performing administrative duties and use a separate user account with standard user access rights when performing non-privileged activities (e.g., Internet browsing, email, or similar activities).",,,False,,,,,,,,,,,,,11 Access Control,,,False
HITRUST e1,11.7.0,,,0366.0,"The organization ensures logical and physical access authorizations to systems and equipment are reviewed, updated, or revoked when there is any change in responsibility, or employment.",,,True,,,,,,change,,,,,,,11 Access Control,,,False
HITRUST e1,11.7.0,,,0238.0,Both bring your own device (BYOD) and company-owned devices are configured to require an automatic session time-out screen as enforced through technical means.,,,False,,,,,,session,,,,,,,11 Access Control,,,False
HITRUST e1,11.7.0,,Identify,0202.1,"Each user ID in the information system (including non-privileged, privileged, seeded, and service accounts) is assigned to a specific, named individual to maintain accountability.",,,False,,PM,Automox Add-On,PM,Automox Add-On,,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,11 Access Control,,,False
HITRUST e1,11.7.0,,,0149.0,"Ports, services, and applications installed on a computer or network systems, which are not specifically required for business functionality, are disabled or removed.",,,False,,,,,,network,,,,,,,11 Access Control,,,False
HITRUST e1,11.7.0,,,0043.0,The organization limits authorization to privileged accounts on information systems to a pre-defined subset of users and tracks and monitors privileged role assignments.,,,False,,,,,,,,,,,,,11 Access Control,,,False
HITRUST e1,11.7.0,,Protect,0035.0,"The allocation of privileges for all systems and system components is controlled through a formal authorization process. The organization ensures access privileges associated with each system product (e.g., operating system, database management system and each application) and the users associated with each system product which need to be allocated are identified. Privileges are allocated to users on a need-to-use basis and on an event-by-event basis in line with the access control policy (e.g., the minimum requirement for their functional roleâ€“user or administrator, only when needed).",,,True,,PT,"Pentesting Services, Vector Command",PT,"Pentesting Services, Vector Command",policy,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,11 Access Control,,,False
HITRUST e1,11.7.0,,,1918.0,Retention policies for audit logs are specified by the organization and the audit logs are retained accordingly.,,,False,,,,,,audit logs,,,,,,,12 Audit Logging & Monitoring,,,False
HITRUST e1,11.7.0,,,1111.0,"Audit records include a unique user ID, unique data subject ID (if applicable), function performed, and date/time the event was performed.",,,False,,,,,,,,,,,,,12 Audit Logging & Monitoring,,,False
HITRUST e1,11.7.0,,,2316.0,"Dedicated phishing awareness training is developed as part of the organizationâ€™s onboarding program, is documented and tracked, and includes the recognition and reporting of potential phishing attempts.",,,False,,,,,,"awareness, training",,,,,,,"13 Education, Training and Awareness",,,False
HITRUST e1,11.7.0,,,2071.0,"The organization provides basic security awareness training to information system users (including managers, senior executives, and contractors) as part of initial training for new users, prior to accessing any systemâ€™s information.",,,False,,,,,,"awareness, training",,,,,,,"13 Education, Training and Awareness",,,False
HITRUST e1,11.7.0,,,0875.1,"The organization prohibits users from installing unauthorized software, including data and software from external networks, and disables any auto-run features which allow file execution without user authorization (such as when files are downloaded from the Internet or when removable media is inserted). Users are made aware and trained on requirements relating to prohibition of installing unauthorized software, including data and software from external networks.",,,False,,,,,,,,,,,,,"13 Education, Training and Awareness",,,False
HITRUST e1,11.7.0,,,3207.0,"The organization ensures all third-parties with access to the organization's information or information systems meet contractual commitments for information security. The organization reviews independent assessments of all third-parties with access to its information or information systems to determine the suitability of the third parties' information security practices (e.g. security certification, attestation, or audit report, verification) at least annually.",,,True,,,,,,,,,,,,,14 Third Party Assurance,,,False
HITRUST e1,11.7.0,Software,Identify,1488.0,"The organization implements an incident handling capability for security incidents that includes detection and analysis, containment, eradication, and recovery (including public relations and reputation management). Components of the incident handling capability include: a policy (setting corporate direction); procedures defining roles and responsibilities; incident handling procedures (business and technical); communication; reporting and retention; and references the organizationâ€™s vulnerability management program elements (e.g., IPS, IDS, forensics, vulnerability assessments, validation).",,,False,,"DM, EASM, PM, SOAR","Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Surface Command, Vector Command, insightConnect","DM, EASM, PM, SOAR","Automox Add-On, DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Nexpose, Surface Command, Vector Command, insightConnect, insightVM","vulnerability, ids, ips, detection, forensics, detection, incident, policy",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,15 Incident Management,,,False
HITRUST e1,11.7.0,,Protect,0903.0,Backups are stored in a physically secure remote location and at a sufficient distance to make them reasonably immune from damage to data at the primary site. Physical and environmental controls are in place for the backup copies.,,,False,,PM,Automox Add-On,PM,Automox Add-On,backup,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,16 Business Continuity & Disaster Recovery,,,False
HITRUST e1,11.7.0,,,0901.0,"Backup copies of information and software are made regularly at appropriate intervals in accordance with an agreed-upon backup policy, are made when equipment is moved (relocated), and are tested regularly at appropriate intervals in accordance with an agreed-upon backup policy. Restoration procedures are tested regularly at appropriate intervals in accordance with an agreed-upon backup policy.",,,False,,,,,,"backup, policy",,,,,,,16 Business Continuity & Disaster Recovery,,,False
HITRUST e1,11.7.0,,Recover,2326.0,The organization maintains offline and/or immutable backups of data for an organization defined period of time.,,,False,,PM,Automox Add-On,PM,Automox Add-On,,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,16 Business Continuity & Disaster Recovery,,,False
HITRUST e1,11.7.0,,,0394.0,"The organization performs risk assessments that address all the major objectives of the HITRUST CSF. Risk assessments are consistent and identify information security risks to the organization. Risk assessments are to be performed at planned intervals and when major changes occur in the environment, and the results reviewed annually.",,,True,,,,,,,,,,,,,17 Risk Management,,,False
HITRUST e1,11.7.0,,Identify,1008.0,"The organization destroys (e.g., disk wiping, degaussing, shredding, disintegration, grinding, incineration, pulverization or melting) media containing sensitive information when it is no longer needed for business or legal reasons.",,,False,,PM,Automox Add-On,PM,Automox Add-On,,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,18 Physical & Environmental Security,,,False
HITRUST e1,11.7.0,,,0699.0,"Access to areas where sensitive information (e.g., covered information, payment card data) is processed or stored is controlled and restricted to authorized persons only.",,,True,,,,,,,,,,,,,18 Physical & Environmental Security,,,False
HITRUST e1,11.7.0,,Identify,1103.1,"The organization trains individuals to ensure that publicly posted information does not contain nonpublic information. If the organization permits the posting of information onto a publicly accessible information system, it designates individuals authorized to post the information.",,,False,,PM,Automox Add-On,PM,Automox Add-On,,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,19 Data Protection & Privacy,,,False
HITRUST i1,11.7.0,,,0431.1,"The organizationâ€™s information security policy is developed, published, disseminated, and implemented. The information security policy documents: state the purpose and scope of the policy; communicate managementâ€™s commitment; describe management and workforce membersâ€™ roles and responsibilities; and establish the organizationâ€™s approach to managing information security.",,,False,,,,,,policy,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0817.0,Operating procedures and the documented procedures for system activities are treated as formal documents. Changes to operating procedures and the documented procedures for system activities are authorized by management.,,,False,,,,,,,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,Identify,0645.0,"All information systems are documented. Documentation of all information systems includes a method to determine accurately and readily the: assigned owner of responsibility; ownerâ€™s contact information; and purpose (e.g., through labeling, coding, and/or inventory).",,,False,,PM,Automox Add-On,PM,Automox Add-On,,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0543.0,"All relevant statutory, regulatory, and contractual requirements, including the specific controls and individual responsibilities to meet these requirements, are explicitly defined and formally documented (e.g., in policies and procedures, as appropriate) for each information system type, and communicated to the user community as necessary through documented security training and awareness programs.",,,False,,,,,,"awareness, training",,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,Identify,0498.0,An independent review of the information security management program and information security controls is conducted at least annually or whenever there is a material change to the business practices that may implicate the security or integrity of records containing personal information.,,,True,,PM,Automox Add-On,PM,Automox Add-On,change,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,Identify,0468.0,"The organization clearly allocates and assigns responsibilities to identify and protect individual IT assets in accordance with the security policies. Where necessary, the organization supplements policies with more detailed guidance for specific assets and facilities. When security responsibilities are delegated to others, the individual originally assigned these responsibilities remains accountable, and the organization determines that any delegated tasks have been correctly performed.",,,False,,PM,Automox Add-On,PM,Automox Add-On,protect,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0453.0,"Security activities (e.g., implementing controls, correcting nonconformities) are coordinated in advance and communicated across the entire organization where necessary.",,,False,,,,,,,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0440.0,"A senior-level information security official is appointed. The senior-level information security official is responsible for ensuring the organizationâ€™s information security processes are in place, communicated to all stakeholders, and consider and address organizational requirements.",,,True,,,,,,,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0435.0,The information security policy documents are reviewed at planned intervals or if significant changes occur to ensure the policiesâ€™ continuing adequacy and effectiveness. Security policies are communicated throughout the organization.,,,True,,,,,,policy,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0362.0,"The organizationâ€™s formal sanctions process: includes specific procedures for license, registration, and certification denial or revocation and other disciplinary action; identifies the individual sanctioned; and identifies the reason for the sanction. The organization employs a formal sanctions process for personnel failing to comply with established information security policies and procedures. The organization notifies defined personnel (e.g., supervisors) within a defined time frame (e.g., 24 hours) when a formal sanction process is initiated.",,,True,,,,,,,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0328.0,"Employees, contractors, and third-party users are: properly briefed on their information security roles and responsibilities prior to being granted access to covered and/or confidential information or information systems; provided with guidelines to state security expectations of their role within the organization; motivated and comply with the security policies of the organization; achieve a level of awareness on security relevant to their roles and responsibilities within the organization; conform to the terms and conditions of employment, which includes the organizationâ€™s information security policy and appropriate methods of working; and continue to have the skills and qualifications appropriate to their roles and responsibilities.",,,False,,,,,,"awareness, policy",,,,,,,01 Information Protection Program,,,False
