Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
PCI DSS,4,Data,Protect Cardholder Data,4.2.2,"PAN is secured with strong cryptography whenever it is sent via end-user messaging technologies.
Applicability Notes
This requirement also applies if a customer, or other third-party, requests that PAN is sent to them via end-user messaging technologies.
There could be occurrences where an entity receives unsolicited cardholder data via an insecure communication channel that was not intended for transmissions of sensitive data. In this situation, the entity can choose to either include the channel in the scope of their CDE and secure it according to PCI DSS or delete the cardholder data and implement measures to prevent the channel from being used for cardholder data.",,,False,,"Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,PAN is protected with strong cryptography during transmission.,,,
PCI DSS,4,Documentation,Malware,5.1.1,"All security policies and operational procedures that are identified in Requirement 5 are:
•         Documented
•         Kept up to date
•         In use
•         Known to all affected parties",,,False,,"NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention Add-On, insightIDR","NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention, insightIDR",,,Available via API/Product reports.,Partial,No,Control Supported,,Processes and mechanisms for protecting all systems and networks from malicious software are defined and understood.,,,
PCI DSS,4,Documentation,Malware,5.1.2,"Roles and responsibilities for performing activities in Requirement 5 are documented, assigned, and understood. 
New requirement - effective immediately",,,False,,"NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention Add-On, insightIDR","NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention, insightIDR",,,Available via API/Product reports.,Partial,No,Control Supported,,Processes and mechanisms for protecting all systems and networks from malicious software are defined and understood.,,,
PCI DSS,4,Devices,Malware,5.2.1,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malware.",,,False,,"NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention Add-On, insightIDR","NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention, insightIDR",malware,,Available via API/Product reports.,Partial,No,Control Supported,,"Malicious software (malware) is prevented, or detected and addressed.",,,
PCI DSS,4,Devices,Malware,5.2.2,"The deployed anti-malware solution(s):
•         Detects all known types of malware.
•         Removes, blocks, or contains all known types of malware. ",,,False,,PM,Automox Add-On,PM,Automox Add-On,malware,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,"Malicious software (malware) is prevented, or detected and addressed.",,,
PCI DSS,4,Devices,Malware,5.2.3,"Any system components that are not at risk for malware are evaluated periodically to include the following: 
•         A documented list of all system components not at risk for malware.
•         Identification and evaluation of evolving malware threats for those system components.
•         Confirmation whether such system components continue to not require anti-malware protection.
Applicability Notes
System components covered by this requirement are those for which there is no anti-malware solution deployed per Requirement 5.2.1.",,,False,,"NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention Add-On, insightIDR","NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention, insightIDR",malware,,Available via API/Product reports.,Partial,No,Control Supported,,"Malicious software (malware) is prevented, or detected and addressed.",,,
PCI DSS,4,Devices,Malware,5.2.3.1,"The frequency of periodic evaluations of system components identified as not at risk for malware is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1. 
Applicability Notes
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci, malware",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,"Malicious software (malware) is prevented, or detected and addressed.",,,
PCI DSS,4,Devices,Malware,5.3.1,The anti-malware solution(s) is kept current via automatic updates.,,,False,,"NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention Add-On, insightIDR","NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention, insightIDR",malware,,Available via API/Product reports.,Partial,No,Control Supported,,"Anti-malware mechanisms and processes are active, maintained, and monitored.",,,
PCI DSS,4,Devices,Malware,5.3.2,"The anti-malware solution(s):
•         Performs periodic scans and active or real-time scans
OR 
•         Performs continuous behavioral analysis of systems or processes.",,,True,,CNAPP,"Exposure Command Ultimate, insightCloudSec",CNAPP,"Exposure Command Ultimate, insightCloudSec",malware,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,"Anti-malware mechanisms and processes are active, maintained, and monitored.",,,
PCI DSS,4,Devices,Malware,5.3.2.1,"If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1. 
Applicability Notes
This requirement applies to entities conducting periodic malware scans to meet Requirement 5.3.2.
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,False,,"CNAPP, Compliance, MDM","Cyber GRC Add-On, Exposure Command Ultimate, Surface Command, insightCloudSec, insightVM","CNAPP, Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci, malware",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,"Anti-malware mechanisms and processes are active, maintained, and monitored.",,,
PCI DSS,4,Devices,Malware,5.3.3,"For removable electronic media, the anti-malware solution(s): 
• Performs automatic scans of when the media is inserted, connected, or logically mounted,
OR
• Performs continuous behavioral analysis of systems or processes when the media is inserted, connected, or logically mounted.

Applicability Notes
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,True,,"CNAPP, Compliance, MDM","Cyber GRC Add-On, Exposure Command Ultimate, Surface Command, insightCloudSec, insightVM","CNAPP, Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci, malware",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,"Anti-malware mechanisms and processes are active, maintained, and monitored.",,,
PCI DSS,4,Devices,Malware,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,,,False,,"NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention Add-On, insightIDR","NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention, insightIDR","audit logs, malware",,Available via API/Product reports.,Partial,No,Control Supported,,"Anti-malware mechanisms and processes are active, maintained, and monitored.",,,
PCI DSS,4,Devices,Malware,5.3.5,"Anti-malware mechanisms cannot be disabled or altered by users, unless specifically documented, and authorized by management on a case-by-case basis for a limited time period. 
Applicability Notes
Anti-malware solutions may be temporarily disabled only if there is a legitimate technical need, as authorized by management on a case-by-case basis. If anti-malware protection needs to be disabled for a specific purpose, it must be formally authorized. Additional security measures may also need to be implemented for the period during which anti-malware protection is not active.",,,False,,"NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention Add-On, insightIDR","NGAV, EPP, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention, insightIDR",malware,,Available via API/Product reports.,Partial,No,Control Supported,,"Anti-malware mechanisms and processes are active, maintained, and monitored.",,,
